======C:1.0E-4	Delta:0.01
TxBlocks:104	RecBLocks:25	TO:4.16
TxBlocks:174	RecBLocks:25	TO:6.96
TxBlocks:111	RecBLocks:25	TO:4.44
TxBlocks:100	RecBLocks:25	TO:4.0
TxBlocks:103	RecBLocks:25	TO:4.12
TxBlocks:89	RecBLocks:25	TO:3.56
TxBlocks:103	RecBLocks:25	TO:4.12
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:103	RecBLocks:25	TO:4.12
TxBlocks:103	RecBLocks:25	TO:4.12
TxBlocks:82	RecBLocks:25	TO:3.28
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:84	RecBLocks:25	TO:3.36
TxBlocks:103	RecBLocks:25	TO:4.12
TxBlocks:104	RecBLocks:25	TO:4.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:106	RecBLocks:25	TO:4.24
TxBlocks:103	RecBLocks:25	TO:4.12
TxBlocks:103	RecBLocks:25	TO:4.12
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:109	RecBLocks:25	TO:4.36
TxBlocks:103	RecBLocks:25	TO:4.12
TxBlocks:275	RecBLocks:25	TO:11.0
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:103	RecBLocks:25	TO:4.12
TxBlocks:139	RecBLocks:25	TO:5.56
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:104	RecBLocks:25	TO:4.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:82	RecBLocks:25	TO:3.28
TxBlocks:103	RecBLocks:25	TO:4.12
TxBlocks:96	RecBLocks:25	TO:3.84
TxBlocks:139	RecBLocks:25	TO:5.56
TxBlocks:109	RecBLocks:25	TO:4.36
TxBlocks:107	RecBLocks:25	TO:4.28
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:103	RecBLocks:25	TO:4.12
TxBlocks:89	RecBLocks:25	TO:3.56
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:139	RecBLocks:25	TO:5.56
TxBlocks:109	RecBLocks:25	TO:4.36
TxBlocks:109	RecBLocks:25	TO:4.36
TxBlocks:139	RecBLocks:25	TO:5.56
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:103	RecBLocks:25	TO:4.12
TxBlocks:103	RecBLocks:25	TO:4.12
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:103	RecBLocks:25	TO:4.12
TxBlocks:141	RecBLocks:25	TO:5.64
TxBlocks:103	RecBLocks:25	TO:4.12
TxBlocks:89	RecBLocks:25	TO:3.56
TxBlocks:103	RecBLocks:25	TO:4.12
TxBlocks:103	RecBLocks:25	TO:4.12
TxBlocks:103	RecBLocks:25	TO:4.12
TxBlocks:103	RecBLocks:25	TO:4.12
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:104	RecBLocks:25	TO:4.16
TxBlocks:139	RecBLocks:25	TO:5.56
TxBlocks:82	RecBLocks:25	TO:3.28
TxBlocks:103	RecBLocks:25	TO:4.12
TxBlocks:103	RecBLocks:25	TO:4.12
TxBlocks:82	RecBLocks:25	TO:3.28
TxBlocks:104	RecBLocks:25	TO:4.16
TxBlocks:103	RecBLocks:25	TO:4.12
TxBlocks:82	RecBLocks:25	TO:3.28
TxBlocks:104	RecBLocks:25	TO:4.16
TxBlocks:103	RecBLocks:25	TO:4.12
TxBlocks:112	RecBLocks:25	TO:4.48
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:82	RecBLocks:25	TO:3.28
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:169	RecBLocks:25	TO:6.76
TxBlocks:103	RecBLocks:25	TO:4.12
TxBlocks:103	RecBLocks:25	TO:4.12
TxBlocks:82	RecBLocks:25	TO:3.28
TxBlocks:109	RecBLocks:25	TO:4.36
TxBlocks:104	RecBLocks:25	TO:4.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:103	RecBLocks:25	TO:4.12
TxBlocks:152	RecBLocks:25	TO:6.08
TxBlocks:103	RecBLocks:25	TO:4.12
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:104	RecBLocks:25	TO:4.16
TxBlocks:104	RecBLocks:25	TO:4.16
TxBlocks:103	RecBLocks:25	TO:4.12
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:103	RecBLocks:25	TO:4.12
TxBlocks:82	RecBLocks:25	TO:3.28
TxBlocks:103	RecBLocks:25	TO:4.12
TxBlocks:96	RecBLocks:25	TO:3.84
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:82	RecBLocks:25	TO:3.28
TxBlocks:103	RecBLocks:25	TO:4.12
TxBlocks:104	RecBLocks:25	TO:4.16
TxBlocks:112	RecBLocks:25	TO:4.48
TxBlocks:139	RecBLocks:25	TO:5.56
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:103	RecBLocks:25	TO:4.12
TxBlocks:139	RecBLocks:25	TO:5.56
TxBlocks:103	RecBLocks:25	TO:4.12
TxBlocks:80	RecBLocks:25	TO:3.2
TxBlocks:82	RecBLocks:25	TO:3.28
TxBlocks:96	RecBLocks:25	TO:3.84
TxBlocks:103	RecBLocks:25	TO:4.12
TxBlocks:103	RecBLocks:25	TO:4.12
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:103	RecBLocks:25	TO:4.12
TxBlocks:109	RecBLocks:25	TO:4.36
TxBlocks:87	RecBLocks:25	TO:3.48
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:103	RecBLocks:25	TO:4.12
TxBlocks:139	RecBLocks:25	TO:5.56
TxBlocks:104	RecBLocks:25	TO:4.16
TxBlocks:139	RecBLocks:25	TO:5.56
TxBlocks:104	RecBLocks:25	TO:4.16
TxBlocks:103	RecBLocks:25	TO:4.12
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:103	RecBLocks:25	TO:4.12
TxBlocks:96	RecBLocks:25	TO:3.84
TxBlocks:109	RecBLocks:25	TO:4.36
TxBlocks:103	RecBLocks:25	TO:4.12
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:103	RecBLocks:25	TO:4.12
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:82	RecBLocks:25	TO:3.28
TxBlocks:103	RecBLocks:25	TO:4.12
TxBlocks:103	RecBLocks:25	TO:4.12
TxBlocks:104	RecBLocks:25	TO:4.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:103	RecBLocks:25	TO:4.12
TxBlocks:103	RecBLocks:25	TO:4.12
TxBlocks:98	RecBLocks:25	TO:3.92
TxBlocks:85	RecBLocks:25	TO:3.4
TxBlocks:104	RecBLocks:25	TO:4.16
TxBlocks:103	RecBLocks:25	TO:4.12
TxBlocks:103	RecBLocks:25	TO:4.12
TxBlocks:104	RecBLocks:25	TO:4.16
TxBlocks:103	RecBLocks:25	TO:4.12
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:109	RecBLocks:25	TO:4.36
TxBlocks:103	RecBLocks:25	TO:4.12
TxBlocks:104	RecBLocks:25	TO:4.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:152	RecBLocks:25	TO:6.08
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:103	RecBLocks:25	TO:4.12
TxBlocks:104	RecBLocks:25	TO:4.16
TxBlocks:96	RecBLocks:25	TO:3.84
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:103	RecBLocks:25	TO:4.12
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:82	RecBLocks:25	TO:3.28
TxBlocks:104	RecBLocks:25	TO:4.16
TxBlocks:96	RecBLocks:25	TO:3.84
TxBlocks:103	RecBLocks:25	TO:4.12
TxBlocks:104	RecBLocks:25	TO:4.16
TxBlocks:172	RecBLocks:25	TO:6.88
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:103	RecBLocks:25	TO:4.12
TxBlocks:79	RecBLocks:25	TO:3.16
