======C:1.0E-4	Delta:0.01
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:103	RecBLocks:25	TO:4.12
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:103	RecBLocks:25	TO:4.12
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:103	RecBLocks:25	TO:4.12
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:103	RecBLocks:25	TO:4.12
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:96	RecBLocks:25	TO:3.84
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:103	RecBLocks:25	TO:4.12
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:103	RecBLocks:25	TO:4.12
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:82	RecBLocks:25	TO:3.28
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:103	RecBLocks:25	TO:4.12
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:103	RecBLocks:25	TO:4.12
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:103	RecBLocks:25	TO:4.12
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:104	RecBLocks:25	TO:4.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:103	RecBLocks:25	TO:4.12
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:103	RecBLocks:25	TO:4.12
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:103	RecBLocks:25	TO:4.12
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:103	RecBLocks:25	TO:4.12
TxBlocks:103	RecBLocks:25	TO:4.12
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:79	RecBLocks:25	TO:3.16
TxBlocks:103	RecBLocks:25	TO:4.12
