======C:1.0E-4	Delta:0.01
TxBlocks:51	RecBLocks:20	TO:2.55
TxBlocks:50	RecBLocks:20	TO:2.5
TxBlocks:35	RecBLocks:20	TO:1.75
TxBlocks:47	RecBLocks:20	TO:2.35
TxBlocks:44	RecBLocks:20	TO:2.2
TxBlocks:35	RecBLocks:20	TO:1.75
TxBlocks:35	RecBLocks:20	TO:1.75
TxBlocks:70	RecBLocks:20	TO:3.5
TxBlocks:35	RecBLocks:20	TO:1.75
TxBlocks:35	RecBLocks:20	TO:1.75
TxBlocks:55	RecBLocks:20	TO:2.75
TxBlocks:47	RecBLocks:20	TO:2.35
TxBlocks:35	RecBLocks:20	TO:1.75
TxBlocks:88	RecBLocks:20	TO:4.4
TxBlocks:35	RecBLocks:20	TO:1.75
TxBlocks:35	RecBLocks:20	TO:1.75
TxBlocks:35	RecBLocks:20	TO:1.75
TxBlocks:35	RecBLocks:20	TO:1.75
TxBlocks:35	RecBLocks:20	TO:1.75
TxBlocks:35	RecBLocks:20	TO:1.75
TxBlocks:35	RecBLocks:20	TO:1.75
TxBlocks:35	RecBLocks:20	TO:1.75
TxBlocks:46	RecBLocks:20	TO:2.3
TxBlocks:63	RecBLocks:20	TO:3.15
TxBlocks:35	RecBLocks:20	TO:1.75
TxBlocks:50	RecBLocks:20	TO:2.5
TxBlocks:50	RecBLocks:20	TO:2.5
TxBlocks:35	RecBLocks:20	TO:1.75
TxBlocks:99	RecBLocks:20	TO:4.95
TxBlocks:51	RecBLocks:20	TO:2.55
TxBlocks:35	RecBLocks:20	TO:1.75
TxBlocks:53	RecBLocks:20	TO:2.65
TxBlocks:65	RecBLocks:20	TO:3.25
TxBlocks:35	RecBLocks:20	TO:1.75
TxBlocks:42	RecBLocks:20	TO:2.1
TxBlocks:35	RecBLocks:20	TO:1.75
TxBlocks:35	RecBLocks:20	TO:1.75
TxBlocks:51	RecBLocks:20	TO:2.55
TxBlocks:63	RecBLocks:20	TO:3.15
TxBlocks:35	RecBLocks:20	TO:1.75
TxBlocks:35	RecBLocks:20	TO:1.75
TxBlocks:150	RecBLocks:20	TO:7.5
TxBlocks:40	RecBLocks:20	TO:2.0
TxBlocks:35	RecBLocks:20	TO:1.75
TxBlocks:85	RecBLocks:20	TO:4.25
TxBlocks:35	RecBLocks:20	TO:1.75
TxBlocks:35	RecBLocks:20	TO:1.75
TxBlocks:35	RecBLocks:20	TO:1.75
TxBlocks:35	RecBLocks:20	TO:1.75
TxBlocks:35	RecBLocks:20	TO:1.75
TxBlocks:46	RecBLocks:20	TO:2.3
TxBlocks:35	RecBLocks:20	TO:1.75
TxBlocks:35	RecBLocks:20	TO:1.75
TxBlocks:87	RecBLocks:20	TO:4.35
TxBlocks:35	RecBLocks:20	TO:1.75
TxBlocks:35	RecBLocks:20	TO:1.75
TxBlocks:50	RecBLocks:20	TO:2.5
TxBlocks:51	RecBLocks:20	TO:2.55
TxBlocks:35	RecBLocks:20	TO:1.75
TxBlocks:99	RecBLocks:20	TO:4.95
TxBlocks:40	RecBLocks:20	TO:2.0
TxBlocks:35	RecBLocks:20	TO:1.75
TxBlocks:35	RecBLocks:20	TO:1.75
TxBlocks:60	RecBLocks:20	TO:3.0
TxBlocks:35	RecBLocks:20	TO:1.75
TxBlocks:46	RecBLocks:20	TO:2.3
TxBlocks:75	RecBLocks:20	TO:3.75
TxBlocks:35	RecBLocks:20	TO:1.75
TxBlocks:42	RecBLocks:20	TO:2.1
TxBlocks:39	RecBLocks:20	TO:1.95
TxBlocks:35	RecBLocks:20	TO:1.75
TxBlocks:35	RecBLocks:20	TO:1.75
TxBlocks:99	RecBLocks:20	TO:4.95
TxBlocks:35	RecBLocks:20	TO:1.75
TxBlocks:35	RecBLocks:20	TO:1.75
TxBlocks:50	RecBLocks:20	TO:2.5
TxBlocks:35	RecBLocks:20	TO:1.75
TxBlocks:35	RecBLocks:20	TO:1.75
TxBlocks:126	RecBLocks:20	TO:6.3
TxBlocks:35	RecBLocks:20	TO:1.75
TxBlocks:35	RecBLocks:20	TO:1.75
TxBlocks:38	RecBLocks:20	TO:1.9
TxBlocks:35	RecBLocks:20	TO:1.75
TxBlocks:35	RecBLocks:20	TO:1.75
TxBlocks:51	RecBLocks:20	TO:2.55
TxBlocks:42	RecBLocks:20	TO:2.1
TxBlocks:35	RecBLocks:20	TO:1.75
TxBlocks:50	RecBLocks:20	TO:2.5
TxBlocks:51	RecBLocks:20	TO:2.55
TxBlocks:35	RecBLocks:20	TO:1.75
TxBlocks:75	RecBLocks:20	TO:3.75
TxBlocks:75	RecBLocks:20	TO:3.75
TxBlocks:35	RecBLocks:20	TO:1.75
TxBlocks:46	RecBLocks:20	TO:2.3
TxBlocks:47	RecBLocks:20	TO:2.35
TxBlocks:35	RecBLocks:20	TO:1.75
TxBlocks:75	RecBLocks:20	TO:3.75
TxBlocks:75	RecBLocks:20	TO:3.75
TxBlocks:35	RecBLocks:20	TO:1.75
TxBlocks:35	RecBLocks:20	TO:1.75
TxBlocks:47	RecBLocks:20	TO:2.35
TxBlocks:35	RecBLocks:20	TO:1.75
TxBlocks:35	RecBLocks:20	TO:1.75
TxBlocks:77	RecBLocks:20	TO:3.85
TxBlocks:35	RecBLocks:20	TO:1.75
TxBlocks:35	RecBLocks:20	TO:1.75
TxBlocks:60	RecBLocks:20	TO:3.0
TxBlocks:35	RecBLocks:20	TO:1.75
TxBlocks:35	RecBLocks:20	TO:1.75
TxBlocks:102	RecBLocks:20	TO:5.1
TxBlocks:35	RecBLocks:20	TO:1.75
TxBlocks:35	RecBLocks:20	TO:1.75
TxBlocks:35	RecBLocks:20	TO:1.75
TxBlocks:35	RecBLocks:20	TO:1.75
TxBlocks:35	RecBLocks:20	TO:1.75
TxBlocks:35	RecBLocks:20	TO:1.75
TxBlocks:35	RecBLocks:20	TO:1.75
TxBlocks:35	RecBLocks:20	TO:1.75
TxBlocks:46	RecBLocks:20	TO:2.3
TxBlocks:49	RecBLocks:20	TO:2.45
TxBlocks:35	RecBLocks:20	TO:1.75
TxBlocks:79	RecBLocks:20	TO:3.95
TxBlocks:61	RecBLocks:20	TO:3.05
TxBlocks:35	RecBLocks:20	TO:1.75
TxBlocks:35	RecBLocks:20	TO:1.75
TxBlocks:48	RecBLocks:20	TO:2.4
TxBlocks:35	RecBLocks:20	TO:1.75
TxBlocks:53	RecBLocks:20	TO:2.65
TxBlocks:87	RecBLocks:20	TO:4.35
TxBlocks:35	RecBLocks:20	TO:1.75
TxBlocks:49	RecBLocks:20	TO:2.45
TxBlocks:46	RecBLocks:20	TO:2.3
TxBlocks:35	RecBLocks:20	TO:1.75
TxBlocks:47	RecBLocks:20	TO:2.35
TxBlocks:66	RecBLocks:20	TO:3.3
TxBlocks:35	RecBLocks:20	TO:1.75
TxBlocks:35	RecBLocks:20	TO:1.75
TxBlocks:87	RecBLocks:20	TO:4.35
TxBlocks:35	RecBLocks:20	TO:1.75
TxBlocks:35	RecBLocks:20	TO:1.75
TxBlocks:87	RecBLocks:20	TO:4.35
TxBlocks:35	RecBLocks:20	TO:1.75
TxBlocks:35	RecBLocks:20	TO:1.75
TxBlocks:35	RecBLocks:20	TO:1.75
TxBlocks:35	RecBLocks:20	TO:1.75
TxBlocks:35	RecBLocks:20	TO:1.75
TxBlocks:51	RecBLocks:20	TO:2.55
TxBlocks:35	RecBLocks:20	TO:1.75
TxBlocks:35	RecBLocks:20	TO:1.75
TxBlocks:61	RecBLocks:20	TO:3.05
TxBlocks:47	RecBLocks:20	TO:2.35
TxBlocks:35	RecBLocks:20	TO:1.75
TxBlocks:51	RecBLocks:20	TO:2.55
TxBlocks:42	RecBLocks:20	TO:2.1
TxBlocks:35	RecBLocks:20	TO:1.75
TxBlocks:46	RecBLocks:20	TO:2.3
TxBlocks:39	RecBLocks:20	TO:1.95
TxBlocks:35	RecBLocks:20	TO:1.75
TxBlocks:70	RecBLocks:20	TO:3.5
TxBlocks:67	RecBLocks:20	TO:3.35
TxBlocks:35	RecBLocks:20	TO:1.75
TxBlocks:70	RecBLocks:20	TO:3.5
TxBlocks:75	RecBLocks:20	TO:3.75
TxBlocks:35	RecBLocks:20	TO:1.75
TxBlocks:47	RecBLocks:20	TO:2.35
TxBlocks:73	RecBLocks:20	TO:3.65
TxBlocks:35	RecBLocks:20	TO:1.75
TxBlocks:35	RecBLocks:20	TO:1.75
TxBlocks:89	RecBLocks:20	TO:4.45
TxBlocks:35	RecBLocks:20	TO:1.75
