======C:1.0E-4	Delta:0.01
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:19	RecBLocks:4	TO:4.75
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:9	RecBLocks:4	TO:2.25
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:29	RecBLocks:4	TO:7.25
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:7	RecBLocks:4	TO:1.75
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:6	RecBLocks:4	TO:1.5
TxBlocks:6	RecBLocks:4	TO:1.5
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:17	RecBLocks:4	TO:4.25
TxBlocks:12	RecBLocks:4	TO:3.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:5	RecBLocks:4	TO:1.25
TxBlocks:28	RecBLocks:4	TO:7.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:12	RecBLocks:4	TO:3.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:16	RecBLocks:4	TO:4.0
TxBlocks:9	RecBLocks:4	TO:2.25
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:19	RecBLocks:4	TO:4.75
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:8	RecBLocks:4	TO:2.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:54	RecBLocks:4	TO:13.5
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:5	RecBLocks:4	TO:1.25
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:16	RecBLocks:4	TO:4.0
TxBlocks:21	RecBLocks:4	TO:5.25
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:11	RecBLocks:4	TO:2.75
TxBlocks:11	RecBLocks:4	TO:2.75
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:6	RecBLocks:4	TO:1.5
TxBlocks:12	RecBLocks:4	TO:3.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:12	RecBLocks:4	TO:3.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:7	RecBLocks:4	TO:1.75
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
